Latitude,Longitude
18.20365346,-67.14328424
18.21090066,-67.14032736
18.21431858,-67.14495867
18.21569443,-67.14763641
18.20834468,-67.14036503
18.21396222,-67.14547342
18.21087121,-67.13953131
18.21116008,-67.14133849
18.21698747,-67.14246649
18.21255278,-67.14108761
18.20518448,-67.1422524
18.20365346,-67.14328424
18.20747375,-67.13988495
18.20986023,-67.1405804
18.21431334,-67.14496566
18.21088963,-67.13979022
18.20934131,-67.14704313
18.2143608,-67.14493346
18.21640426,-67.14582437
18.20883805,-67.14009141
18.20365831,-67.14328312
18.21431858,-67.14495867
18.21345838,-67.14593891
18.20175746,-67.14040408
18.20400796,-67.14273379
18.21272125,-67.14139614
18.20507171,-67.14228104
18.20550183,-67.14383884
18.20914034,-67.14073454
18.21032743,-67.13977463
18.20883808,-67.14009156
18.21033595,-67.13980526
18.21182098,-67.13670693
18.21214517,-67.14213091
18.21194,-67.13968946
18.21422985,-67.14120981
18.20414025,-67.13718447
18.20458378,-67.14269226
18.21345838,-67.14593891
18.20111935,-67.1386514
18.20505811,-67.13985306
18.21431858,-67.14495867
18.20747375,-67.13988495
18.20505811,-67.13985306
18.21256486,-67.14384102
18.20478551,-67.14249381
18.20518448,-67.1422524
18.21254327,-67.1410755
18.20915151,-67.14077949
18.21705051,-67.1424432
18.21389887,-67.14175483
18.21569443,-67.14763641
18.2105977,-67.14555559
18.21060586,-67.14358886
18.21253931,-67.14110005
18.20518448,-67.1422524
18.20473849,-67.14056018
18.20954674,-67.14015043
18.21082761,-67.14050974
18.20505811,-67.13985306
18.21086842,-67.14265149
18.20414025,-67.13718447
18.21064295,-67.14100818
18.20884692,-67.14010255
18.20507171,-67.14228104
18.208148,-67.14092102
18.20458378,-67.14269226
18.21803416,-67.14476151
18.20515423,-67.14221674
18.20934131,-67.14704313
18.21030947,-67.13975868
18.20486366,-67.14052941
18.20518448,-67.1422524
18.20518448,-67.1422524
18.20410342,-67.14392979
18.20897952,-67.14002062
18.20474934,-67.14057018
18.21059502,-67.14122363
18.20988846,-67.14056423
18.20473849,-67.14056018
18.2050088,-67.14422501
18.21069972,-67.14041485
18.21487085,-67.14648793
18.21142508,-67.1414486
18.216402,-67.14837703
18.20550183,-67.14383884
18.21251973,-67.14114412
18.20519859,-67.14226356
18.20934131,-67.14704313
18.20473849,-67.14056018
18.20957043,-67.13937637
18.21029655,-67.13972186
18.21431858,-67.14495867
18.21269407,-67.14388453
18.21271504,-67.14382942
18.20967704,-67.14027874
18.20977633,-67.14917462
18.216402,-67.14837703
18.21431858,-67.14495867
18.20934131,-67.14704313
18.20879787,-67.14006322
18.21083305,-67.14035971
18.21431858,-67.14495867
18.20399895,-67.14298696
18.20550183,-67.14383884
18.21640426,-67.14582437
18.20909975,-67.14062276
18.20473849,-67.14056018
18.20550183,-67.14383884
18.20507604,-67.13984758
18.20507171,-67.14228104
18.216402,-67.14837703
18.20118188,-67.13734435
18.21345838,-67.14593891
18.21705051,-67.1424432
18.21253365,-67.14394818
18.2116429,-67.14001918
18.21465429,-67.1399743
18.20825958,-67.14253998
18.2104648,-67.14080562
18.20414025,-67.13718447
18.21429572,-67.14495104
18.20934131,-67.14704313
18.20825958,-67.14253998
18.21527208,-67.14622068
18.21453725,-67.13966239
18.21431858,-67.14495867
18.21452788,-67.1480016
18.20747375,-67.13988495
18.21246301,-67.14382857
18.20417693,-67.13737177
18.21265819,-67.14395326
18.21241307,-67.13880911
18.20473849,-67.14056018
18.20518448,-67.1422524
18.21092937,-67.1398518
18.20478128,-67.14044519
18.20474441,-67.14056075
18.2108841,-67.13953334
18.20535895,-67.14250256
18.21527208,-67.14622068
18.20417614,-67.14303071
18.20505811,-67.13985306
18.21363253,-67.14289091
18.20387784,-67.14228826
18.21484194,-67.14013071
18.21456384,-67.14488456
18.2050088,-67.14422501
18.21183235,-67.1367425
18.20179246,-67.14118639
18.21640426,-67.14582437
18.21569443,-67.14763641
18.20810163,-67.14250239
18.21003987,-67.13993581
18.20518448,-67.1422524
18.21110218,-67.14137444
18.20458114,-67.14454615
18.21048086,-67.14018695
18.20815063,-67.13982074
18.20517706,-67.14240338
18.20548969,-67.14072682
18.20414025,-67.13718447
18.21086358,-67.13951977
18.21701393,-67.14247539
18.21559503,-67.14315054
18.21187549,-67.14087396
18.20962328,-67.13909506
18.20825958,-67.14253998
18.21258275,-67.14131681
18.2052529,-67.14237284
18.21120474,-67.1412891
18.20473849,-67.14056018
18.2037914,-67.14349364
18.20510243,-67.14230794
18.21151904,-67.14064619
18.20118188,-67.13734435
18.20458378,-67.14269226
18.20399895,-67.14298696
18.20429043,-67.13718452
18.20417614,-67.14303071
18.21135661,-67.14122187
18.21203606,-67.14112389
18.21088546,-67.13975661
18.21527208,-67.14622068
18.21057779,-67.14358342
18.20175746,-67.14040408
18.20505811,-67.13985306
18.21252777,-67.14105691
18.216402,-67.14837703
18.20507171,-67.14228104
18.20977633,-67.14917462
18.21282649,-67.14427278
18.21580862,-67.14355293
18.20747375,-67.13988495
18.21569733,-67.14931929
18.20473849,-67.14056018
18.20508368,-67.14227886
18.20418432,-67.14062761
18.21253281,-67.14394741
18.20934131,-67.14704313
18.20815063,-67.13982074
18.21706441,-67.14244052
18.20886202,-67.14015197
18.21105218,-67.1435928
18.20521659,-67.14229914
18.20856491,-67.14130322
18.20934131,-67.14704313
18.21251368,-67.14103983
18.20938056,-67.14698836
18.20473849,-67.14056018
18.20512337,-67.14215608
18.21345838,-67.14593891
18.20518448,-67.1422524
18.20458378,-67.14269226
18.20813557,-67.14087349
18.20513358,-67.14235173
18.20512111,-67.13984543
18.20518448,-67.1422524
18.20538603,-67.13715087
18.20799723,-67.1402034
18.21390605,-67.14181092
18.20505811,-67.13985306
18.20518448,-67.1422524
18.210882,-67.13957874
18.20507171,-67.14228104
18.20523387,-67.14248242
18.21057292,-67.14351826
18.20825958,-67.14253998
18.20514887,-67.14055475
18.20895736,-67.13987218
18.21207422,-67.14081936
18.20747375,-67.13988495
18.20538603,-67.13715087
18.20473849,-67.14056018
18.2109357,-67.13970079
18.20934131,-67.14704313
18.20951609,-67.14950053
18.21717158,-67.14259233
18.20811486,-67.14076696
18.2138495,-67.14799107
18.20365346,-67.14328424
18.20518448,-67.1422524
18.21705051,-67.1424432
18.21561494,-67.14736436
18.21569443,-67.14763641
18.21084326,-67.14050263
18.21776016,-67.14541688
18.20370609,-67.14336498
18.21471032,-67.14464505
18.21076143,-67.13948756
18.21019048,-67.14077777
18.20441611,-67.13718725
18.21135419,-67.1398178
18.21431858,-67.14495867
18.20414025,-67.13718447
18.21119097,-67.14133758
18.21569443,-67.14763641
18.20550183,-67.14383884
18.20600151,-67.14341513
18.20237187,-67.13939292
18.20825958,-67.14253998
18.20934131,-67.14704313
18.2012888,-67.13942274
18.20550183,-67.14383884
18.20475695,-67.14061275
18.2012888,-67.13942274
18.20409071,-67.14391198
18.20505811,-67.13985306
18.20401048,-67.14379432
18.21564571,-67.14752825
18.20489371,-67.1408636
18.20518448,-67.1422524
18.20550183,-67.14383884
18.21569443,-67.14763641
18.20305933,-67.13721659
18.20305411,-67.13730964
18.20096596,-67.13733938
18.2057664,-67.14424019
18.21577957,-67.14765538
18.20585594,-67.14322877
18.20575991,-67.14424056
18.20505811,-67.13985306
18.20505811,-67.13985306
18.20505811,-67.13985306
18.20542775,-67.14070945
18.20408037,-67.14389055
18.20414025,-67.13718447
18.203895,-67.14233998
18.21415628,-67.14483435
18.21345838,-67.14593891
18.2017201,-67.14149233
18.2012888,-67.13942274
18.20473849,-67.14056018
18.20473849,-67.14056018
18.20414025,-67.13718447
18.20524446,-67.14249689
18.20546704,-67.14739281
18.20497817,-67.13986671
18.20414025,-67.13718447
18.20473849,-67.14056018
18.20703997,-67.13992524
18.20096596,-67.13733938
18.21335708,-67.1474355
18.20825958,-67.14253998
18.20473849,-67.14056018
18.20934131,-67.14704313
18.20473849,-67.14056018
18.20369018,-67.14142319
18.20473849,-67.14056018
18.21569443,-67.14763641
18.20825958,-67.14253998
18.21264304,-67.14753166
18.21744718,-67.15043239
18.21599135,-67.14295837
18.21364497,-67.14893873
18.21739648,-67.15023463
18.20473849,-67.14056018
18.21530382,-67.14576753
18.20182034,-67.14144463
18.20473849,-67.14056018
18.20473849,-67.14056018
18.20473849,-67.14056018
18.21202032,-67.14110602
18.20096596,-67.13733938
18.20825958,-67.14253998
18.20518448,-67.1422524
18.20550183,-67.14383884
18.20483431,-67.13979
18.2136355,-67.14891708
18.21569443,-67.14763641
18.20481537,-67.14104188
